axon_id,reasons,category,gratio,axon_diam,myelin_thickness,solidity,eccentricity,sample,slice_id
0,border-touching,border,0.7910380476845272,0.6180412950639305,0.081631418366141,0.9752650176678446,0.8567921677388082,sample2,03
1,border-touching,border,0.8479746816760694,0.7178173603964413,0.06434532484921496,0.9626093874303898,0.7429605562438121,sample2,03
2,border-touching,border,0.8823639413004057,2.004648576271447,0.1336290767065922,0.866674319825508,0.9655128365261232,sample2,03
3,border-touching; low solidity (0.737),border,0.8311465560905307,0.5058928115446572,0.05138789474154734,0.7367453263867606,0.770381587976589,sample2,03
4,border-touching; low solidity (0.730),border,0.8645862865703198,0.4813053866466633,0.03769163975412637,0.7299563904729957,0.4642069585770938,sample2,03
5,border-touching,border,0.8990589839654055,1.258106925204393,0.07062639580673918,0.867393967679832,0.8937645675520016,sample2,03
6,border-touching,border,0.8107032289691528,0.9198567633984316,0.1073918968742843,0.8091214496589637,0.9745477203509866,sample2,03
7,border-touching,border,0.7600764404248691,0.86866661563557,0.1371004121578012,0.9660624233337877,0.8917283375361441,sample2,03
8,border-touching,border,0.8183170883849715,0.6921457134405703,0.0768351597837984,0.8921490880253767,0.9211053969122732,sample2,03
9,border-touching,border,0.766623432389173,0.4591175263470441,0.06988259678870197,0.94106463878327,0.5688602003427381,sample2,03
16,border-touching,border,0.8344929495372632,1.090578019362086,0.1081485178420027,0.9701285168461271,0.7862316333580044,sample2,03
49,border-touching,border,0.7486087912339959,0.4012057718690951,0.06736469377270739,0.967989756722151,0.7126317582292404,sample2,03
54,tiny axon (0.0206 um); very low gratio (0.250); myelin>>axon (mt/ad=1.50),artifact,0.25,0.02063579820784273,0.0309536973117641,1.0,0.0,sample2,03
59,low solidity (0.742),merge_error,0.8676624659442427,1.600837923422287,0.122081426547647,0.7415439590906291,0.974322502467149,sample2,03
61,border-touching,border,0.7987058497862393,0.4696627884509791,0.05918347281015113,0.9396825396825397,0.6391129265038026,sample2,03
68,border-touching,border,0.786139470562045,0.4641908021960921,0.06313898133553289,0.9383402874362541,0.9115076131396556,sample2,03
94,border-touching,border,0.8502934710020853,0.6163163648370262,0.05425572869307459,0.9550321199143469,0.9504387329551128,sample2,03
99,border-touching,border,0.7512709509209656,0.4017361168089711,0.06650293225906409,0.958886780518659,0.5856946365825709,sample2,03
111,border-touching,border,0.8410271275221491,0.7593300804206867,0.07176515482857297,0.8960953011250827,0.6761176529592587,sample2,03
116,border-touching,border,0.7427458799723192,0.5544850882225865,0.0960244797618322,0.9578772802653399,0.9038876427655862,sample2,03
129,tiny axon (0.0357 um); very low gratio (0.109); myelin>>axon (mt/ad=4.10),artifact,0.1086250893187137,0.03574225095072239,0.1466500324582912,1.0,0.9561828874675149,sample2,03
130,border-touching,border,0.7622243209796955,0.7497357810127133,0.1169399411101086,0.9603492178974172,0.8805768949814354,sample2,03
132,tiny axon (0.0206 um),artifact,0.4714045207910317,0.02063579820784273,0.01156967016802283,1.0,0.0,sample2,03
138,border-touching,border,0.8606796905538265,0.6370414961319941,0.05155972619387151,0.9614123581336697,0.7546926790994739,sample2,03
149,gratio=1.000; no myelin; tiny axon (0.0146 um),invalid,1.0,0.0145917128479628,0.0,1.0,1.0,sample2,03
150,gratio=1.000; no myelin; tiny axon (0.0103 um),invalid,1.0,0.01031789910392137,0.0,1.0,0.0,sample2,03
164,border-touching,border,0.8555544300546172,1.195274170451688,0.100900686576345,0.9635267087880528,0.6756074838344852,sample2,03
186,border-touching,border,0.7172550553865605,0.4905073238355009,0.09668001993768438,0.8034127266263775,0.9874344367847923,sample2,03
194,tiny axon (0.0357 um); very low gratio (0.168); myelin>>axon (mt/ad=2.48),artifact,0.1678362716593378,0.03574225095072239,0.08860839351463844,1.0,0.9561828874675149,sample2,03
207,border-touching,border,0.7644298429535072,1.295297070420038,0.1995823011839614,0.9793077735661467,0.7637509640530152,sample2,03
208,border-touching,border,0.4666802331497041,0.2706359562956602,0.1546406884846649,0.9502762430939227,0.9702719245336305,sample2,03
225,border-touching,border,0.3995189414976274,0.1880010689251762,0.1412837654762831,0.9046321525885559,0.9589175043178362,sample2,03
239,border-touching,border,0.726511350536779,1.294803843111268,0.2437086179800588,0.9490177172471977,0.7504959948715821,sample2,03
240,myelin>>axon (mt/ad=1.02),myelin_dominant,0.3279782326855516,0.1072267528521672,0.1098528877436038,0.9310344827586207,0.7484349397140517,sample2,03
243,border-touching; very low gratio (0.287); myelin>>axon (mt/ad=1.24),border,0.2873639614222178,0.1321335796634111,0.1638395265509358,0.841025641025641,0.9926799308663615,sample2,03
261,border-touching,border,0.8048477473944814,1.006299362382133,0.1219992153796247,0.934289362538061,0.8625004146189816,sample2,03
274,border-touching,border,0.3733370206307584,0.1637915704897927,0.1374657586666403,0.9655172413793104,0.9906467072855114,sample2,03
292,border-touching,border,0.7946891938981373,0.5428430970648566,0.07012273144077959,0.9561312607944732,0.6718170517917734,sample2,03
306,border-touching,border,0.5297140879053277,0.1414719049165447,0.06280014573761804,0.9170731707317074,0.8903877561338606,sample2,03
311,border-touching; low solidity (0.658),border,0.7679417382030594,0.5955850297590705,0.08998757319896017,0.6581078412008691,0.9686551995177174,sample2,03
317,border-touching,border,0.8973720355735133,2.138967925308397,0.122311547187701,0.9269860443044801,0.9501867737233556,sample2,03
325,border-touching,border,0.8714654639138147,1.214710797265423,0.08958030769469047,0.9431137724550899,0.7955898434296637,sample2,03
335,low solidity (0.736),merge_error,0.7788328857106177,1.492497568878056,0.2119141258984579,0.7355950079100018,0.915888295691941,sample2,03
350,border-touching,border,0.8545104989601967,1.736475137543091,0.1478266806765916,0.940246979152835,0.5889642229531327,sample2,03
355,border-touching,border,0.832542610831664,1.220306960710621,0.1227261013225581,0.9218399894556478,0.7592709034184236,sample2,03
360,border-touching,border,0.702433750365609,0.7254884583823918,0.1536663632702164,0.9351238887838094,0.72620017243476,sample2,03
361,border-touching,border,0.8415471795330224,1.000995755504896,0.09423749766664151,0.9565040650406504,0.8664909430864848,sample2,03
364,border-touching,border,0.6940434707335368,0.7160354361904624,0.1578256450255848,0.9705763804917372,0.9258331165453195,sample2,03
365,border-touching,border,0.708306754395612,0.4521076868224058,0.09309296975746638,0.9504950495049505,0.8002841381382694,sample2,03
366,border-touching,border,0.4539256779510899,0.3633307198396382,0.2185441209357526,0.9415337889141989,0.9151502534805491,sample2,03
367,border-touching,border,0.6342663323292691,0.311593719817739,0.08983632597492751,0.9421487603305785,0.776122343429818,sample2,03
368,border-touching,border,0.6037569189284675,0.2821902963519274,0.09260014168734053,0.9540816326530612,0.938501104039392,sample2,03
