2026-03-22 13:52:33.918 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:221 - Arguments: {'sizepixel': '0.009144', 'imgpath': ['/Users/mathieuboudreau/neuropoly/projects/g-ratio/gow_analysis/data/macaque/data/sample2/01.png'], 'filename': PosixPath('axon_morphometrics.xlsx'), 'axonshape': 'circle', 'colorize': False, 'unmyelinated': False, 'nerve': False, 'diameter_overlay': False}
2026-03-22 13:52:36.284 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 1 at [y:1127.0, x:1.5] and corresponding myelinated axon 1 have unexpected measure values for equivalent_diameter attribute.
2026-03-22 13:52:36.285 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 1 at [y:1127.0, x:1.5] and corresponding myelinated axon 1 have unexpected measure values for area attribute.
2026-03-22 13:52:41.063 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:363 - Morphometrics file: 01_axon_morphometrics.xlsx has been saved in the /Users/mathieuboudreau/neuropoly/projects/g-ratio/gow_analysis/data/macaque/data/sample2 directory
2026-03-22 13:52:43.046 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:219 - Logging initialized for morphometrics in "/Users/mathieuboudreau/neuropoly/projects/g-ratio/gow_analysis".
2026-03-22 13:52:43.047 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:220 - AxonDeepSeg v5.4.0 - 8972f83c028dc4393d84ed66af7d30d5e41ad593
2026-03-22 13:52:43.048 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:221 - Arguments: {'sizepixel': '0.009144', 'imgpath': ['/Users/mathieuboudreau/neuropoly/projects/g-ratio/gow_analysis/data/macaque/data/sample2/03.png'], 'filename': PosixPath('axon_morphometrics.xlsx'), 'axonshape': 'circle', 'colorize': False, 'unmyelinated': False, 'nerve': False, 'diameter_overlay': False}
2026-03-22 13:52:48.319 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 150 at [y:794.5, x:1263.0] and corresponding myelinated axon 150 have unexpected measure values for equivalent_diameter attribute.
2026-03-22 13:52:48.320 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 150 at [y:794.5, x:1263.0] and corresponding myelinated axon 150 have unexpected measure values for area attribute.
2026-03-22 13:52:48.325 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 151 at [y:796.0, x:1268.0] and corresponding myelinated axon 151 have unexpected measure values for equivalent_diameter attribute.
2026-03-22 13:52:48.325 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 151 at [y:796.0, x:1268.0] and corresponding myelinated axon 151 have unexpected measure values for area attribute.
2026-03-22 13:52:50.362 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:363 - Morphometrics file: 03_axon_morphometrics.xlsx has been saved in the /Users/mathieuboudreau/neuropoly/projects/g-ratio/gow_analysis/data/macaque/data/sample2 directory
2026-03-22 13:52:52.324 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:219 - Logging initialized for morphometrics in "/Users/mathieuboudreau/neuropoly/projects/g-ratio/gow_analysis".
2026-03-22 13:52:52.324 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:220 - AxonDeepSeg v5.4.0 - 8972f83c028dc4393d84ed66af7d30d5e41ad593
2026-03-22 13:52:52.325 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:221 - Arguments: {'sizepixel': '0.009144', 'imgpath': ['/Users/mathieuboudreau/neuropoly/projects/g-ratio/gow_analysis/data/macaque/data/sample2/05.png'], 'filename': PosixPath('axon_morphometrics.xlsx'), 'axonshape': 'circle', 'colorize': False, 'unmyelinated': False, 'nerve': False, 'diameter_overlay': False}
2026-03-22 13:52:55.396 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 81 at [y:487.0, x:643.0] and corresponding myelinated axon 81 have unexpected measure values for equivalent_diameter attribute.
2026-03-22 13:52:55.397 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 81 at [y:487.0, x:643.0] and corresponding myelinated axon 81 have unexpected measure values for area attribute.
2026-03-22 13:52:57.919 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:363 - Morphometrics file: 05_axon_morphometrics.xlsx has been saved in the /Users/mathieuboudreau/neuropoly/projects/g-ratio/gow_analysis/data/macaque/data/sample2 directory
2026-03-22 13:52:59.590 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:219 - Logging initialized for morphometrics in "/Users/mathieuboudreau/neuropoly/projects/g-ratio/gow_analysis".
2026-03-22 13:52:59.590 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:220 - AxonDeepSeg v5.4.0 - 8972f83c028dc4393d84ed66af7d30d5e41ad593
2026-03-22 13:52:59.590 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:221 - Arguments: {'sizepixel': '0.009144', 'imgpath': ['/Users/mathieuboudreau/neuropoly/projects/g-ratio/gow_analysis/data/macaque/data/sample3/01.png'], 'filename': PosixPath('axon_morphometrics.xlsx'), 'axonshape': 'circle', 'colorize': False, 'unmyelinated': False, 'nerve': False, 'diameter_overlay': False}
2026-03-22 13:53:02.384 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 117 at [y:980.6, x:1016.4] and corresponding myelinated axon 117 have unexpected measure values for equivalent_diameter attribute.
2026-03-22 13:53:02.384 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 117 at [y:980.6, x:1016.4] and corresponding myelinated axon 117 have unexpected measure values for area attribute.
2026-03-22 13:53:02.390 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 119 at [y:897.5, x:1036.5] and corresponding myelinated axon 119 have unexpected measure values for equivalent_diameter attribute.
2026-03-22 13:53:02.391 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 119 at [y:897.5, x:1036.5] and corresponding myelinated axon 119 have unexpected measure values for area attribute.
2026-03-22 13:53:02.433 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 123 at [y:801.5, x:1086.5] and corresponding myelinated axon 123 have unexpected measure values for equivalent_diameter attribute.
2026-03-22 13:53:02.434 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 123 at [y:801.5, x:1086.5] and corresponding myelinated axon 123 have unexpected measure values for area attribute.
2026-03-22 13:53:02.436 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 124 at [y:831.5, x:1085.5] and corresponding myelinated axon 124 have unexpected measure values for equivalent_diameter attribute.
2026-03-22 13:53:02.436 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 124 at [y:831.5, x:1085.5] and corresponding myelinated axon 124 have unexpected measure values for area attribute.
2026-03-22 13:53:02.648 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 147 at [y:975.5, x:1405.5] and corresponding myelinated axon 147 have unexpected measure values for equivalent_diameter attribute.
2026-03-22 13:53:02.649 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:warn_if_measures_are_unexpected:363 - WARNING: Axon 147 at [y:975.5, x:1405.5] and corresponding myelinated axon 147 have unexpected measure values for area attribute.
2026-03-22 13:53:03.281 | WARNING  | AxonDeepSeg.morphometrics.compute_morphometrics:get_axon_morphometrics:263 - WARNING: Myelin object not found for axon centroid [y:2394.4241379310347, x:1319.9275862068966]
2026-03-22 13:53:04.230 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:363 - Morphometrics file: 01_axon_morphometrics.xlsx has been saved in the /Users/mathieuboudreau/neuropoly/projects/g-ratio/gow_analysis/data/macaque/data/sample3 directory
2026-03-22 13:53:05.895 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:219 - Logging initialized for morphometrics in "/Users/mathieuboudreau/neuropoly/projects/g-ratio/gow_analysis".
2026-03-22 13:53:05.896 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:220 - AxonDeepSeg v5.4.0 - 8972f83c028dc4393d84ed66af7d30d5e41ad593
2026-03-22 13:53:05.896 | INFO     | AxonDeepSeg.morphometrics.launch_morphometrics_computation:main:221 - Arguments: {'sizepixel': '0.009144', 'imgpath': ['/Users/mathieuboudreau/neuropoly/projects/g-ratio/gow_analysis/data/macaque/data/sample3/03.png'], 'filename': PosixPath('axon_morphometrics.xlsx'), 'axonshape': 'circle', 'colorize': False, 'unmyelinated': False, 'nerve': False, 'diameter_overlay': False}
