axon_id,reasons,category,gratio,axon_diam,myelin_thickness,solidity,eccentricity,sample,slice_id
0,border-touching,border,0.6898345461202983,1.025632386968493,0.2305739373353514,0.8651606689431749,0.8991239021535048,sample8,01
1,border-touching; very low gratio (0.210); myelin>>axon (mt/ad=1.88),border,0.2099233112595395,0.0831855619967527,0.156540436074181,1.0,1.0,sample8,01
2,border-touching,border,0.846792517183721,2.759145898209504,0.2496017555713859,0.950703289106331,0.5538287494808203,sample8,01
3,border-touching,border,0.7483095972770866,0.3816228103046035,0.0641785159266437,0.8614609571788413,0.8946264211062048,sample8,01
4,border-touching,border,0.5775051835365574,0.5751245458519442,0.210376587405952,0.9159787735849056,0.930680675507058,sample8,01
5,border-touching,border,0.8462233939981384,0.3556309066988093,0.03231281137426691,0.945859872611465,0.9495729887966916,sample8,01
6,border-touching,border,0.7545069322058119,0.5955850297590705,0.0968924140036687,0.9333333333333333,0.9448525293530322,sample8,01
8,border-touching,border,0.8209202804241278,3.924506207346891,0.4280558586775017,0.9591855677621678,0.6833579249733155,sample8,01
9,tiny axon (0.0413 um),artifact,0.9176629354822471,0.04127159641568547,0.00185154154397832,0.8,0.8770580193070292,sample8,01
15,border-touching; low solidity (0.708),border,0.8218151260230993,0.5191861844638701,0.05628463258939961,0.7080536912751678,0.6116350854960636,sample8,01
18,border-touching,border,0.8144098334498514,0.6111123620503878,0.0696310631303115,0.9608326485894275,0.8178743986527163,sample8,01
20,tiny axon (0.0253 um); very low gratio (0.059); myelin>>axon (mt/ad=7.95),artifact,0.05918299561721822,0.02527358802212713,0.200883895154375,1.0,0.7905694150420949,sample8,01
22,gratio=1.000; no myelin,invalid,1.0,0.1557968599088695,0.0,0.8444444444444444,0.756256454741196,sample8,01
23,gratio=1.000; no myelin; tiny axon (0.0461 um),invalid,1.0,0.04614304756270469,0.0,0.8,0.9380708676698898,sample8,01
28,border-touching,border,0.8743510436550042,1.171888066647684,0.08420331490193543,0.9285919953930319,0.6726626922598098,sample8,01
34,tiny axon (0.0253 um); myelin>>axon (mt/ad=1.09),artifact,0.3136250240935901,0.02527358802212713,0.02765589005515614,0.8571428571428571,0.9252741613028527,sample8,01
35,border-touching,border,0.9085010721770383,0.8600450123401314,0.04330935808365947,0.9740642086078789,0.7464710269952705,sample8,01
36,gratio=1.540; no myelin; low solidity (0.461),invalid,1.539766110953495,1.579953041995144,-0.2769268341796294,0.4613840735129179,0.843058300575349,sample8,01
37,low solidity (0.720),merge_error,0.5640214524511673,0.3871618925224066,0.1496346272243876,0.7202046035805627,0.9639707846049542,sample8,01
38,border-touching,border,0.6601497295081244,0.1544241735927024,0.03974938928254033,0.9451476793248945,0.8205235952249316,sample8,01
39,gratio=1.000; no myelin,invalid,1.0,0.06997939645538721,0.0,0.9387755102040817,0.7898676648541301,sample8,01
41,tiny axon (0.0206 um),artifact,0.7071067811865475,0.02063579820784273,0.004273813744041436,1.0,0.0,sample8,01
43,tiny axon (0.0146 um); very low gratio (0.065); myelin>>axon (mt/ad=7.17),artifact,0.06516352124510748,0.0145917128479628,0.1046664237686222,1.0,1.0,sample8,01
45,border-touching,border,0.9140085841349037,1.418176371234589,0.06671217110302714,0.9745679649213309,0.691109099039413,sample8,01
48,very low gratio (0.150); myelin>>axon (mt/ad=2.84),myelin_dominant,0.149685927699739,0.1611707362648788,0.4577776521648915,0.9037037037037037,0.9139531627139338,sample8,01
51,very low gratio (0.296); low solidity (0.749); myelin>>axon (mt/ad=1.19),myelin_dominant,0.2957895466586143,0.1167337027837024,0.1389587540975657,0.7485380116959064,0.9753827910051337,sample8,01
54,very low gratio (0.262); myelin>>axon (mt/ad=1.41),myelin_dominant,0.2622900470777891,0.1337352572896984,0.1880700992248546,0.8615384615384616,0.9565389378222277,sample8,01
55,tiny axon (0.0146 um); very low gratio (0.148); myelin>>axon (mt/ad=2.87),artifact,0.1482498633322202,0.0145917128479628,0.04191738573349544,1.0,1.0,sample8,01
56,border-touching,border,0.8554121110558235,1.005240879536996,0.08495651088762542,0.9719434773704689,0.5785619367063566,sample8,01
62,border-touching,border,0.7474384656463687,0.5134126876019958,0.08674178684746128,0.9709803921568627,0.8985917227746539,sample8,01
65,low solidity (0.519),merge_error,0.6875606059547185,0.3855085245730723,0.0875908601901734,0.5189591078066914,0.6870875082820708,sample8,01
69,border-touching,border,0.8300209984850161,3.399775154212002,0.3481179314398025,0.9029006719446477,0.8876667376115064,sample8,01
73,border-touching; tiny axon (0.0292 um),border,0.7302967433402215,0.0291834256959256,0.005388812850705142,1.0,0.8944271909999159,sample8,01
91,tiny axon (0.0438 um); very low gratio (0.085); myelin>>axon (mt/ad=5.39),artifact,0.08481889296799709,0.0437751385438884,0.2361630666895811,0.9473684210526315,0.9832607884428421,sample8,01
92,very low gratio (0.179); myelin>>axon (mt/ad=2.29),myelin_dominant,0.1793828805147865,0.06443525925166556,0.1473849586109922,0.8297872340425532,0.9979635186973748,sample8,01
95,tiny axon (0.0357 um),artifact,0.5773502691896257,0.03574225095072239,0.0130825718364029,0.75,0.9773555548504418,sample8,01
96,gratio=1.000; no myelin; tiny axon (0.0292 um),invalid,1.0,0.0291834256959256,0.0,1.0,0.8944271909999159,sample8,01
98,very low gratio (0.247); myelin>>axon (mt/ad=1.52),myelin_dominant,0.2473907552685623,0.07721208679635122,0.1174468509642903,0.7777777777777778,0.9874889342536467,sample8,01
99,tiny axon (0.0357 um); very low gratio (0.183); myelin>>axon (mt/ad=2.23),artifact,0.183083459309206,0.03574225095072239,0.07974078082568267,1.0,0.6831300510639732,sample8,01
102,border-touching,border,0.7463396070983032,0.5444097470671007,0.0925149818039639,0.8708163903659681,0.8463236261303088,sample8,01
104,gratio=1.000; no myelin,invalid,1.0,0.07992210279467177,0.0,1.0,0.9983300851137158,sample8,01
105,myelin>>axon (mt/ad=1.04),myelin_dominant,0.3250135425130795,0.05651346085280072,0.05868343276776322,0.9375,0.6597262517365652,sample8,01
108,tiny axon (0.0206 um); very low gratio (0.157); myelin>>axon (mt/ad=2.68),artifact,0.1571348402636772,0.02063579820784273,0.05534480871191124,1.0,0.0,sample8,01
