axon_id,reasons,category,gratio,axon_diam,myelin_thickness,solidity,eccentricity,sample,slice_id
0,border-touching,border,0.7883001592765163,2.465179090631581,0.3310147884027676,0.8702890596414197,0.8585208634254125,sample7,05
1,border-touching,border,0.8753128196002062,3.288157584007084,0.234196900056429,0.9693707108018593,0.5695558133635586,sample7,05
2,border-touching; very low gratio (0.215); myelin>>axon (mt/ad=1.82),border,0.2154866450518181,0.05459719016326424,0.0993848709636424,0.9655172413793104,0.8639991304436438,sample7,05
3,border-touching,border,0.7237759253429248,0.5025145245972096,0.09589059590013146,0.9583838383838383,0.4059487729611865,sample7,05
4,border-touching,border,0.7474825474418508,0.3871618925224066,0.06539626588067968,0.9166666666666666,0.9594734171974114,sample7,05
5,border-touching; low solidity (0.716),border,0.4867322682312848,0.3321017425846702,0.1751035623262539,0.7159640635798203,0.8786026248280154,sample7,05
6,border-touching,border,0.3929702432153492,0.1868651004049018,0.1443273102846179,0.9398280802292264,0.9673630268564745,sample7,05
7,border-touching; tiny axon (0.0413 um); very low gratio (0.194); myelin>>axon (mt/ad=2.08),border,0.1938006332446037,0.04127159641568547,0.08584372078215691,1.0,0.9759000729485332,sample7,05
13,tiny axon (0.0206 um); very low gratio (0.111); myelin>>axon (mt/ad=4.01),artifact,0.1109400392450458,0.02063579820784273,0.08268638658170971,1.0,0.0,sample7,05
14,border-touching; low solidity (0.729),border,0.9425951508282544,1.44391615993999,0.04396786324710455,0.7289239587598169,0.9811131967099949,sample7,05
21,very low gratio (0.136); myelin>>axon (mt/ad=3.17),myelin_dominant,0.1361277867359978,0.05459719016326424,0.1732379429476992,0.8484848484848485,0.9362104036268228,sample7,05
26,border-touching,border,0.7879310176639215,1.06149069692934,0.1428483247965219,0.8543062394059247,0.9770307305164826,sample7,05
30,tiny axon (0.0357 um); very low gratio (0.298); myelin>>axon (mt/ad=1.18),artifact,0.298142396999972,0.03574225095072239,0.04207045162064262,1.0,0.9561828874675149,sample7,05
33,border-touching; tiny axon (0.0206 um); very low gratio (0.209); myelin>>axon (mt/ad=1.90),border,0.2085144140570747,0.02063579820784273,0.03916500667302478,1.0,0.0,sample7,05
51,border-touching,border,0.8631488373384759,1.192956190465182,0.09457085186653783,0.9459382960656666,0.944512221555457,sample7,05
53,low solidity (0.727),merge_error,0.4319571568937901,0.2995746523614193,0.1969769854881429,0.7267241379310345,0.9638942534962393,sample7,05
54,border-touching,border,0.7829119978841719,0.982532743535188,0.1362196970310023,0.815981283181859,0.8921803123927597,sample7,05
62,tiny axon (0.0103 um); very low gratio (0.137); myelin>>axon (mt/ad=3.14),artifact,0.137360563948689,0.01031789910392137,0.03239877009956758,1.0,0.0,sample7,05
79,border-touching,border,0.7873570002262547,0.6340262946321834,0.08561634251507114,0.9711934156378601,0.7556758451713985,sample7,05
97,border-touching,border,0.9069689880123426,2.878878752641872,0.1476483800923486,0.9694052896349056,0.6626733491758581,sample7,05
108,border-touching,border,0.70655757195325,1.170069775301669,0.2429724975556239,0.9729157209865336,0.9020824874167765,sample7,05
132,tiny axon (0.0292 um),artifact,0.5,0.0291834256959256,0.0145917128479628,1.0,0.8944271909999159,sample7,05
144,low solidity (0.637),merge_error,0.6636668488032065,0.4454656598846417,0.1128765655608236,0.6368295182781004,0.658863499201333,sample7,05
152,border-touching; tiny axon (0.0206 um); very low gratio (0.091); myelin>>axon (mt/ad=5.00),border,0.09090909090909091,0.02063579820784273,0.1031789910392137,1.0,0.0,sample7,05
159,border-touching,border,0.5387919005600045,0.2776262709995936,0.1188246191797344,0.9118387909319899,0.9404581928803878,sample7,05
169,low solidity (0.727),merge_error,0.4281744192888377,0.09679047313060164,0.06463168514030063,0.7272727272727273,0.9220332810414743,sample7,05
170,tiny axon (0.0292 um); very low gratio (0.073); myelin>>axon (mt/ad=6.31),artifact,0.07339758434175739,0.0291834256959256,0.1842120077216429,1.0,0.8944271909999159,sample7,05
190,border-touching,border,0.4890469778973461,0.3893554618754316,0.2033979953958387,0.9455511288180611,0.9710158770619953,sample7,05
194,gratio=1.000; no myelin; tiny axon (0.0206 um),invalid,1.0,0.02063579820784273,0.0,1.0,0.0,sample7,05
195,border-touching,border,0.8571541925894852,2.749057014273216,0.2290668774745568,0.8467989168684615,0.6625980842923309,sample7,05
211,border-touching,border,0.7775510454512364,0.708862947159936,0.1013990158180376,0.9543065103113627,0.7651067912651355,sample7,05
228,border-touching,border,0.5446483186835117,0.2602075146115002,0.1087728771071283,0.956390977443609,0.9784453347145969,sample7,05
233,very low gratio (0.177); myelin>>axon (mt/ad=2.33),myelin_dominant,0.1768534712808414,0.0619073946235282,0.1440708418594799,0.75,0.9393595022106037,sample7,05
239,border-touching; low solidity (0.600),border,0.4856005150965233,0.1516415281327628,0.08031738181534287,0.6,0.8683427877040641,sample7,05
243,very low gratio (0.264); myelin>>axon (mt/ad=1.39),myelin_dominant,0.2639121846349995,0.1874339452531783,0.2613896805815727,0.9348441926345609,0.6633823685251025,sample7,05
245,border-touching,border,0.4255612320274538,0.0989658115538923,0.0667939118767679,0.9387755102040817,0.7803466305041962,sample7,05
248,tiny axon (0.0206 um); very low gratio (0.244); myelin>>axon (mt/ad=1.55),artifact,0.2443388887126105,0.02063579820784273,0.03190992291117015,1.0,1.0,sample7,05
253,tiny axon (0.0413 um); myelin>>axon (mt/ad=1.13),artifact,0.305887645160749,0.04127159641568547,0.04682622104762044,0.8888888888888888,0.7453559924999299,sample7,05
261,border-touching,border,0.3840643474647086,0.1473690759671617,0.1181701303030965,0.8755364806866953,0.9914592489009568,sample7,05
264,low solidity (0.630),merge_error,0.7456812706977857,1.739017539815096,0.2965507840542785,0.6300904977375565,0.914028883663684,sample7,05
267,myelin>>axon (mt/ad=1.02),myelin_dominant,0.3286913892792812,0.2307152378135234,0.2356026516366966,0.9433962264150944,0.431167560542577,sample7,05
271,border-touching,border,0.756875929096956,0.6238703849797425,0.1001999811865428,0.948378728923476,0.7164839618902412,sample7,05
273,myelin>>axon (mt/ad=1.03),myelin_dominant,0.3259783115217064,0.1337352572896984,0.1382614436934391,0.7850467289719626,0.6924777360554442,sample7,05
275,tiny axon (0.0206 um); very low gratio (0.057); myelin>>axon (mt/ad=8.24),artifact,0.05721295676906231,0.02063579820784273,0.1700241018447297,1.0,0.0,sample7,05
279,gratio=1.000; no myelin,invalid,1.0,0.09170749321389941,0.0,0.8977272727272727,0.7720331919006825,sample7,05
280,gratio=1.000; no myelin; tiny axon (0.0206 um),invalid,1.0,0.02063579820784273,0.0,0.8,0.9128709291752769,sample7,05
281,gratio=1.000; no myelin; tiny axon (0.0146 um),invalid,1.0,0.0145917128479628,0.0,1.0,1.0,sample7,05
283,border-touching,border,0.846928909342959,1.369135059117432,0.1237264394000226,0.9287899567464922,0.9512108231503049,sample7,05
286,gratio=1.000; no myelin; tiny axon (0.0413 um),invalid,1.0,0.04127159641568547,0.0,1.0,0.0,sample7,05
288,border-touching,border,0.7817048477974321,1.307241577092388,0.1825270112120732,0.8953092754754867,0.5802563195900541,sample7,05
291,gratio=1.000; no myelin; tiny axon (0.0413 um),invalid,1.0,0.04127159641568547,0.0,0.9411764705882353,0.8888696647386813,sample7,05
296,gratio=1.000; no myelin; tiny axon (0.0357 um),invalid,1.0,0.03574225095072239,0.0,1.0,0.9561828874675149,sample7,05
309,border-touching,border,0.8590077571743046,1.100102899065263,0.09028205728227673,0.9762129669386003,0.7194802004783708,sample7,05
311,low solidity (0.724),merge_error,0.5707309086960957,0.7201864010295619,0.2708402131625293,0.7244609665427509,0.9608038924357984,sample7,05
313,border-touching,border,0.7571108180200056,1.063494645658493,0.1705901820288544,0.9691662105455209,0.8858043353694781,sample7,05
314,border-touching,border,0.7540583907017372,0.5959424165477631,0.0971854691772975,0.9740145985401459,0.5121396139453852,sample7,05
315,border-touching,border,0.7942934910280277,0.8176568860160381,0.1058785861014427,0.9740964789824724,0.8514708161200724,sample7,05
317,border-touching,border,0.6582030179444187,0.5058928115446572,0.1313520536335327,0.8506723283793347,0.7377132068452568,sample7,05
318,border-touching,border,0.3930666549228249,0.3346564090204665,0.2583711073357097,0.906896551724138,0.938796390540646,sample7,05
319,border-touching; very low gratio (0.292); low solidity (0.711); myelin>>axon (mt/ad=1.21),border,0.2918934629654682,0.3365596835651862,0.4082313279879375,0.7112299465240641,0.987855107150885,sample7,05
320,border-touching; very low gratio (0.163); myelin>>axon (mt/ad=2.56),border,0.1633473665959379,0.1203263466616658,0.3081511410324635,0.7861271676300579,0.9417355999801039,sample7,05
321,border-touching,border,0.3404112635125052,0.1516415281327628,0.1469120658759394,0.9191489361702128,0.9297823410620771,sample7,05
