axon_id,reasons,category,gratio,axon_diam,myelin_thickness,solidity,eccentricity,sample,slice_id
0,border-touching,border,0.8140725382278328,0.4628126968228369,0.05285130375698725,0.9752787203102278,0.8055010200110565,sample4,05
6,tiny axon (0.0386 um); low solidity (0.667); myelin>>axon (mt/ad=1.03),artifact,0.3269101237460131,0.03860604339817561,0.03974385478762796,0.6666666666666666,0.9820457000766386,sample4,05
7,tiny axon (0.0231 um); very low gratio (0.104); myelin>>axon (mt/ad=4.31),artifact,0.1039188917815932,0.02307152378135234,0.0994715986855022,0.8333333333333334,0.848528137423857,sample4,05
8,tiny axon (0.0206 um),artifact,0.3849001794597505,0.02063579820784273,0.01648878910912043,0.8,0.9128709291752769,sample4,05
9,gratio=1.000; no myelin; tiny axon (0.0146 um),invalid,1.0,0.0145917128479628,0.0,1.0,1.0,sample4,05
10,gratio=1.000; no myelin; tiny axon (0.0103 um),invalid,1.0,0.01031789910392137,0.0,1.0,0.0,sample4,05
11,gratio=1.000; no myelin; tiny axon (0.0103 um),invalid,1.0,0.01031789910392137,0.0,1.0,0.0,sample4,05
13,tiny axon (0.0206 um),artifact,0.816496580927726,0.02063579820784273,0.0023188949071422,1.0,0.0,sample4,05
15,tiny axon (0.0206 um); very low gratio (0.073); myelin>>axon (mt/ad=6.33),artifact,0.07317617332646023,0.02063579820784273,0.1306829025899608,1.0,1.0,sample4,05
17,border-touching,border,0.8921209135005647,1.057672734110941,0.06394916128775194,0.9476911976911977,0.7675538716170226,sample4,05
20,border-touching,border,0.7590634264134716,0.5567842760596408,0.08836527425284788,0.9604221635883905,0.8612885864301787,sample4,05
21,very low gratio (0.211); myelin>>axon (mt/ad=1.87),myelin_dominant,0.2112100031426289,0.05054717604425427,0.09438735438626832,0.75,0.960811636784763,sample4,05
23,tiny axon (0.0146 um); very low gratio (0.065); myelin>>axon (mt/ad=7.21),artifact,0.06488856845230503,0.0145917128479628,0.1051408423351239,1.0,1.0,sample4,05
24,tiny axon (0.0146 um); very low gratio (0.060); myelin>>axon (mt/ad=7.86),artifact,0.05981486045545792,0.0145917128479628,0.1146781207520479,1.0,1.0,sample4,05
28,border-touching; tiny axon (0.0357 um); very low gratio (0.263); myelin>>axon (mt/ad=1.40),border,0.2633707687836883,0.03574225095072239,0.04998426165774587,1.0,0.9561828874675149,sample4,05
29,gratio=1.000; no myelin,invalid,1.0,0.08935562737680598,0.0,0.9868421052631579,0.7700728655455282,sample4,05
30,gratio=1.000; no myelin; tiny axon (0.0413 um),invalid,1.0,0.04127159641568547,0.0,0.8,0.8770580193070292,sample4,05
31,gratio=1.000; no myelin; tiny axon (0.0357 um),invalid,1.0,0.03574225095072239,0.0,1.0,0.9561828874675149,sample4,05
34,gratio=1.000; no myelin; tiny axon (0.0146 um),invalid,1.0,0.0145917128479628,0.0,1.0,1.0,sample4,05
35,gratio=1.000; no myelin; tiny axon (0.0146 um),invalid,1.0,0.0145917128479628,0.0,1.0,1.0,sample4,05
36,gratio=1.000; no myelin; tiny axon (0.0292 um),invalid,1.0,0.0291834256959256,0.0,1.0,0.8944271909999159,sample4,05
38,gratio=1.000; no myelin; tiny axon (0.0146 um),invalid,1.0,0.0145917128479628,0.0,1.0,1.0,sample4,05
39,gratio=1.000; no myelin; tiny axon (0.0310 um),invalid,1.0,0.0309536973117641,0.0,1.0,1.0,sample4,05
43,gratio=1.000; no myelin; low solidity (0.688),invalid,1.0,0.06844119990490274,0.0,0.6875,0.9735764468688792,sample4,05
44,tiny axon (0.0146 um); very low gratio (0.050); myelin>>axon (mt/ad=9.56),artifact,0.04972110101636285,0.0145917128479628,0.1394397603432416,1.0,1.0,sample4,05
45,gratio=1.000; no myelin; tiny axon (0.0292 um),invalid,1.0,0.0291834256959256,0.0,1.0,0.8944271909999159,sample4,05
53,border-touching,border,0.779441719080971,1.822796395180402,0.2578979476877526,0.9522501906941266,0.8301176995947622,sample4,05
56,tiny axon (0.0146 um); very low gratio (0.097); myelin>>axon (mt/ad=4.65),artifact,0.09712858623572644,0.0145917128479628,0.06781958287907514,1.0,1.0,sample4,05
59,tiny axon (0.0206 um),artifact,0.5,0.02063579820784273,0.01031789910392137,1.0,0.0,sample4,05
62,tiny axon (0.0103 um); very low gratio (0.067); myelin>>axon (mt/ad=6.95),artifact,0.06711560552140244,0.01031789910392137,0.07170766756163371,1.0,0.0,sample4,05
63,tiny axon (0.0206 um); very low gratio (0.066); myelin>>axon (mt/ad=7.07),artifact,0.06600983619844496,0.02063579820784273,0.1459906103264419,0.8,0.9128709291752769,sample4,05
69,gratio=1.000; no myelin; tiny axon (0.0146 um),invalid,1.0,0.0145917128479628,0.0,1.0,1.0,sample4,05
71,tiny axon (0.0206 um),artifact,0.5345224838248488,0.02063579820784273,0.00898512259516644,1.0,0.0,sample4,05
72,tiny axon (0.0372 um); myelin>>axon (mt/ad=1.00),artifact,0.3333333333333332,0.03720171427425243,0.03720171427425244,0.8125,0.9923832901234824,sample4,05
73,tiny axon (0.0326 um); very low gratio (0.054); myelin>>axon (mt/ad=8.77),artifact,0.05396346830471055,0.03262806183620188,0.2860021735553032,0.9090909090909091,0.791741358748446,sample4,05
81,tiny axon (0.0372 um),artifact,0.5435573065046089,0.03720171427425243,0.01561974281532515,0.8125,0.953853733769721,sample4,05
82,tiny axon (0.0103 um); very low gratio (0.229); myelin>>axon (mt/ad=1.68),artifact,0.2294157338705618,0.01031789910392137,0.01732839019986037,1.0,0.0,sample4,05
83,gratio=1.000; no myelin; tiny axon (0.0273 um),invalid,1.0,0.02729859508163212,0.0,1.0,0.8886656215775005,sample4,05
85,gratio=1.000; no myelin; tiny axon (0.0326 um),invalid,1.0,0.03262806183620188,0.0,1.0,0.9354143466934853,sample4,05
91,border-touching,border,0.7328604225751191,0.2990411262881899,0.05450268403674038,0.9375,0.9044996776404484,sample4,05
