axon_id,reasons,category,gratio,axon_diam,myelin_thickness,solidity,eccentricity,sample,slice_id
262,border-touching,border,0.8184457280816906,0.6689946279501954,0.0742009081527241,0.9671037497124454,0.6800154137136462,sample1,1
273,border-touching,border,0.8676415326354635,1.462232333760678,0.1115315619110336,0.9777042157530912,0.6210189021173383,sample1,1
309,border-touching,border,0.7131603770679596,0.4728255365663669,0.0950873765442048,0.9536784741144414,0.7691450830800706,sample1,1
319,border-touching,border,0.8210757925942801,0.6289688384728565,0.0685306715419514,0.9383838383838384,0.6791117337452595,sample1,1
321,border-touching,border,0.8316114213799919,0.7828015363321951,0.0792526621542792,0.9465548429534616,0.762522344267985,sample1,1
326,tiny axon (0.0292 um); very low gratio (0.196); myelin>>axon (mt/ad=2.06),artifact,0.1956463952178074,0.0291834256959256,0.0599903556420713,1.0,0.8944271909999159,sample1,1
343,border-touching,border,0.4714045207910317,0.1763123371754251,0.0988513052476756,0.915360501567398,0.9336115140722592,sample1,1
350,border-touching,border,0.844153828076264,0.9338696222696192,0.0862046707993112,0.9593629230589062,0.7660618926025987,sample1,1
362,border-touching,border,0.7935048414676069,0.9251652268791551,0.1203786859319796,0.9659978373182748,0.6894328663784123,sample1,1
383,border-touching,border,0.6068441347838576,0.5058928115446572,0.1638762860419734,0.9585326953748008,0.5747104729436772,sample1,1
389,border-touching,border,0.7699064264648081,0.6330180359057646,0.094591613335782,0.8287098194627918,0.8590178975157199,sample1,1
397,border-touching,border,0.8765811351537713,0.9180031458706662,0.0646254531639843,0.9570789505501148,0.6277678490424138,sample1,1
403,border-touching,border,0.5531329974361181,0.2279298410834489,0.0920703748935047,0.9155722326454032,0.9540308461657726,sample1,1
420,border-touching,border,0.6935832442869835,0.4487989609058637,0.099136998118748,0.9604060913705584,0.4599752234178912,sample1,1
430,border-touching,border,0.4037668342960305,0.1091943803265285,0.0806224106701096,0.9491525423728814,0.9560201366800796,sample1,1
442,border-touching,border,0.887684013735703,1.379978022231416,0.0873022326591784,0.9341967829538332,0.6130920069591249,sample1,1
448,tiny axon (0.0292 um); very low gratio (0.137); myelin>>axon (mt/ad=3.16),artifact,0.1365577483997838,0.0291834256959256,0.0922620762555627,1.0,0.8944271909999159,sample1,1
474,border-touching,border,0.7912277919220424,0.7483144796757369,0.0987245821327293,0.9635464370763877,0.6679842891766881,sample1,1
481,border-touching,border,0.902221910822174,1.779949742970445,0.0964508191458207,0.9149040826364978,0.9478953596866374,sample1,1
483,border-touching,border,0.7988354887823512,1.042056729535755,0.1312065097268329,0.93689721686415,0.7021427103503785,sample1,1
484,border-touching,border,0.8551804882049169,1.042873708673036,0.0883020972981832,0.9701804368471036,0.6768553436834963,sample1,1
489,border-touching,border,0.7915901635822058,0.6426982827459252,0.0846047930705277,0.9685471792311532,0.724419916391603,sample1,1
490,border-touching,border,0.584162023789496,0.4595810474407136,0.1635772652873763,0.932769158439116,0.5349335736432342,sample1,1
491,border-touching,border,0.7556392070480492,0.5632476763536002,0.0910723315693157,0.9700520833333334,0.7923628690338073,sample1,1
492,border-touching,border,0.6633841914469243,0.3453029495225106,0.0876071762395783,0.9531914893617022,0.6769744241861407,sample1,1
